	img	id	shapeIndex	angle	estimate	trueNum	transformed
1036	Sphere1_5ISRX8WX7_view5	5ISRX8WX7	Sphere1	22	5.393627546352362	6.866933284461882	7.1115142348511675
1037	Sphere1_2VVPEOJCT_view5	2VVPEOJCT	Sphere1	22	5.375278407684165	6.885509670034818	7.056756747349542
1038	Sphere1_IWV33ZLSW_view1	IWV33ZLSW	Sphere1	90	5.5909869805108565	6.424869023905388	6.623133852834975
1039	Sphere1_IM4V1DJEB_view3	IM4V1DJEB	Sphere1	66	5.384495062789089	6.93537044601511	6.19747272090925
1040	Sphere1_M17VBMOXP_view1	M17VBMOXP	Sphere1	90	5.517452896464707	6.340359303727752	6.385562219807756
1041	Sphere1_DZKSYUNXE_view1	DZKSYUNXE	Sphere1	90	5.521460917862246	6.186208623900494	6.398329547972178
1042	Sphere1_XH3AUM68Y_view1	XH3AUM68Y	Sphere1	90	5.389071729816501	5.332718793265369	5.987691248836843
1043	Sphere1_NLL4ZD1OF_view1	NLL4ZD1OF	Sphere1	90	5.5093883366279774	6.220590170099739	6.35993648524224
1044	Sphere1_GWR1C9TVA_view1	GWR1C9TVA	Sphere1	90	5.501258210544727	6.6240652277998935	6.3341882428392005
1045	Sphere1_F9WPTSZP6_view1	F9WPTSZP6	Sphere1	90	5.4510384535657	5.68697535633982	6.177051756136489
1046	Sphere1_5QYN7Y5UM_view1	5QYN7Y5UM	Sphere1	90	5.4638318050256105	5.62040086571715	6.216769723306754
1047	Sphere1_PZYC0E03A_view4	PZYC0E03A	Sphere1	45	5.236441962829949	6.5638555265321274	6.114905530616863
1048	Sphere1_8B8X52UMJ_view2	8B8X52UMJ	Sphere1	0	4.624972813284271	6.249975242259483	5.874650502599465
1049	Sphere1_09ALO2445_view1	09ALO2445	Sphere1	90	5.5134287461649825	6.037870919922137	6.372764585427774
1050	Sphere1_P6C2OZB0K_view1	P6C2OZB0K	Sphere1	90	5.568344503761097	6.29156913955832	6.54923003789542
1051	Sphere1_BWRPH9NZR_view5	BWRPH9NZR	Sphere1	22	5.402677381872279	6.90875477931522	7.13868239341171
1052	Sphere1_ZKZXTTU4V_view1	ZKZXTTU4V	Sphere1	90	5.049856007249537	4.74493212836325	5.039818516015988
1053	Sphere1_IWV33ZLSW_view2	IWV33ZLSW	Sphere1	0	4.718498871295094	6.424869023905388	6.066078000036914
1054	Sphere1_K7G8CQJMA_view1	K7G8CQJMA	Sphere1	90	5.605802066295998	6.7357800142423265	6.671851258109342
1055	Sphere1_V0WGJ25PE_view1	V0WGJ25PE	Sphere1	90	5.541263545158426	6.5998704992128365	6.461717095272753
1056	Sphere1_C0F2MT4I8_view1	C0F2MT4I8	Sphere1	90	5.605802066295998	6.680854678790215	6.671851258109342
1057	Sphere1_0F5SGWN3M_view1	0F5SGWN3M	Sphere1	90	5.488937726156687	5.707110264748875	6.295333323505748
1058	Sphere1_DZKSYUNXE_view2	DZKSYUNXE	Sphere1	0	4.6913478822291435	6.186208623900494	6.009330990592424
1059	Sphere1_M17VBMOXP_view2	M17VBMOXP	Sphere1	0	4.6443908991413725	6.340359303727752	5.91345697793151
1060	Sphere1_XH3AUM68Y_view2	XH3AUM68Y	Sphere1	0	4.23410650459726	5.332718793265369	5.1980602254424895
1061	Sphere1_NLL4ZD1OF_view2	NLL4ZD1OF	Sphere1	0	4.605170185988092	6.220590170099739	5.835581854238338
1062	Sphere1_09CV3IWJJ_view1	09CV3IWJJ	Sphere1	90	5.537334267018537	6.645090969505644	6.449098947224368
1063	Sphere1_F9WPTSZP6_view2	F9WPTSZP6	Sphere1	0	4.343805421853684	5.68697535633982	5.3678418620177695
1064	Sphere1_GWR1C9TVA_view2	GWR1C9TVA	Sphere1	0	4.804021044733257	6.6240652277998935	6.251105734812256
1065	Sphere1_R5EL7LBSW_view1	R5EL7LBSW	Sphere1	90	5.5053315359323625	5.993961427306569	6.347077758412464
1066	Sphere1_5QYN7Y5UM_view2	5QYN7Y5UM	Sphere1	0	4.30406509320417	5.62040086571715	5.304523101804911
1067	Sphere1_TRRBIBGW8_view1	TRRBIBGW8	Sphere1	90	5.493061443340548	6.063785208687608	6.308316190690544
1068	Sphere1_HGFKXUSRE_view1	HGFKXUSRE	Sphere1	90	5.5093883366279774	6.672032945461067	6.35993648524224
1069	Sphere1_O9LW3E9NN_view1	O9LW3E9NN	Sphere1	90	5.583496308781699	6.45833828334479	6.5986107168810975
1070	Sphere1_09ALO2445_view2	09ALO2445	Sphere1	0	4.624972813284271	6.037870919922137	5.874650502599465
1071	Sphere1_ZKZXTTU4V_view2	ZKZXTTU4V	Sphere1	0	4.0943445622221	4.74493212836325	5.004478838191684
1072	Sphere1_P6C2OZB0K_view2	P6C2OZB0K	Sphere1	0	4.68213122712422	6.29156913955832	5.990286204581334
1073	Sphere1_8B8X52UMJ_view3	8B8X52UMJ	Sphere1	66	5.351858133476067	6.249975242259483	6.100237548508737
1074	Sphere1_IM4V1DJEB_view4	IM4V1DJEB	Sphere1	45	5.407171771460119	6.93537044601511	6.611908797214454
1075	Sphere1_K7G8CQJMA_view2	K7G8CQJMA	Sphere1	0	4.962844630259907	6.7357800142423265	6.620020790200439
1076	Sphere1_V0WGJ25PE_view2	V0WGJ25PE	Sphere1	0	4.852030263919617	6.5998704992128365	6.359153198668473
1077	Sphere1_IWV33ZLSW_view3	IWV33ZLSW	Sphere1	66	5.342334251964811	6.424869023905388	6.07212482219094
1078	Sphere1_PZYC0E03A_view5	PZYC0E03A	Sphere1	22	5.262690188904886	6.5638555265321274	6.730381533357175
1079	Sphere1_C0F2MT4I8_view2	C0F2MT4I8	Sphere1	0	4.919980925828125	6.680854678790215	6.517216773140142
1080	Sphere1_0F5SGWN3M_view2	0F5SGWN3M	Sphere1	0	4.454347296253507	5.707110264748875	5.554799461987429
1081	Sphere1_DP63MKML2_view1	DP63MKML2	Sphere1	90	5.5909869805108565	6.694562058521095	6.623133852834975
1082	Sphere1_DZKSYUNXE_view3	DZKSYUNXE	Sphere1	66	5.262690188904886	6.186208623900494	5.84166004020279
1083	Sphere1_M17VBMOXP_view3	M17VBMOXP	Sphere1	66	5.3612921657094255	6.340359303727752	6.128201650472484
1084	Sphere1_09CV3IWJJ_view2	09CV3IWJJ	Sphere1	0	4.875197323201151	6.645090969505644	6.412366941627933
1085	Sphere1_XH3AUM68Y_view3	XH3AUM68Y	Sphere1	66	5.236441962829949	5.332718793265369	5.7675179347823615
1086	Sphere1_NLL4ZD1OF_view3	NLL4ZD1OF	Sphere1	66	5.318119993844216	6.220590170099739	6.00118141202169
1087	Sphere1_R5EL7LBSW_view2	R5EL7LBSW	Sphere1	0	4.51085950651685	5.993961427306569	5.656532033980845
1088	Sphere1_L57GY4D4J_view1	L57GY4D4J	Sphere1	90	5.472270673671475	5.572154032177765	6.243085662383123
1089	Sphere1_F9WPTSZP6_view3	F9WPTSZP6	Sphere1	66	5.214935757608986	5.68697535633982	5.707439911655047
1090	Sphere1_GWR1C9TVA_view3	GWR1C9TVA	Sphere1	66	5.407171771460119	6.6240652277998935	6.265851129759561
1091	Sphere1_TRRBIBGW8_view2	TRRBIBGW8	Sphere1	0	4.61512051684126	6.063785208687608	5.855148975387845
1092	Sphere1_5QYN7Y5UM_view3	5QYN7Y5UM	Sphere1	66	5.204006687076795	5.62040086571715	5.677140424350345
1093	Sphere1_HGFKXUSRE_view2	HGFKXUSRE	Sphere1	0	4.912654885736052	6.672032945461067	6.499885750934915
1094	Sphere1_O9LW3E9NN_view2	O9LW3E9NN	Sphere1	0	4.77912349311153	6.45833828334479	6.196255735200452
1095	Sphere1_09ALO2445_view3	09ALO2445	Sphere1	66	5.267858159063328	6.037870919922137	5.856363600611296
1096	Sphere1_ZKZXTTU4V_view3	ZKZXTTU4V	Sphere1	66	5.062595033026967	4.74493212836325	5.29913817800162
1097	Sphere1_8B8X52UMJ_view4	8B8X52UMJ	Sphere1	45	5.198497031265826	6.249975242259483	6.0096078085274875
1098	Sphere1_P6C2OZB0K_view3	P6C2OZB0K	Sphere1	66	5.37989735354046	6.29156913955832	6.183690728252124
1099	Sphere1_K7G8CQJMA_view3	K7G8CQJMA	Sphere1	66	5.3981627015177525	6.7357800142423265	6.238605281528258
1100	Sphere1_IWV33ZLSW_view4	IWV33ZLSW	Sphere1	45	5.1647859739235145	6.424869023905388	5.917633902930806
1101	Sphere1_V0WGJ25PE_view3	V0WGJ25PE	Sphere1	66	5.4510384535657	6.5998704992128365	6.400027860328812
1102	Sphere1_C0F2MT4I8_view3	C0F2MT4I8	Sphere1	66	5.389071729816501	6.680854678790215	6.2112190103452605
1103	Sphere1_DP63MKML2_view2	DP63MKML2	Sphere1	0	4.836281906951478	6.694562058521095	6.323379423355693
1104	Sphere1_DZKSYUNXE_view4	DZKSYUNXE	Sphere1	45	5.1298987149230735	6.186208623900494	5.82401112344807
1105	Sphere1_M17VBMOXP_view4	M17VBMOXP	Sphere1	45	5.262690188904886	6.340359303727752	6.188843171093232
1106	Sphere1_09CV3IWJJ_view3	09CV3IWJJ	Sphere1	66	5.389071729816501	6.645090969505644	6.2112190103452605
1107	Sphere1_0F5SGWN3M_view3	0F5SGWN3M	Sphere1	66	5.293304824724492	5.707110264748875	5.929270603808703
1108	Sphere1_XH3AUM68Y_view4	XH3AUM68Y	Sphere1	45	4.983606621708336	5.332718793265369	5.448703436506783
1109	Sphere1_L57GY4D4J_view2	L57GY4D4J	Sphere1	0	4.31748811353631	5.572154032177765	5.32567987453659
1110	Sphere1_NLL4ZD1OF_view4	NLL4ZD1OF	Sphere1	45	5.220355825078324	6.220590170099739	6.070037043439186
1111	Sphere1_F9WPTSZP6_view4	F9WPTSZP6	Sphere1	45	5.093750200806762	5.68697535633982	5.728677665470421
1112	Sphere1_GWR1C9TVA_view4	GWR1C9TVA	Sphere1	45	5.332718793265369	6.6240652277998935	6.3904993819061175
1113	Sphere1_IM4V1DJEB_view5	IM4V1DJEB	Sphere1	22	5.424950017481403	6.93537044601511	7.206001000109456
1114	Sphere1_R5EL7LBSW_view3	R5EL7LBSW	Sphere1	66	5.288267030694535	5.993961427306569	5.914769840689637
1115	Sphere1_5QYN7Y5UM_view4	5QYN7Y5UM	Sphere1	45	5.14166355650266	5.62040086571715	5.855405686412613
1116	Sphere1_TRRBIBGW8_view3	TRRBIBGW8	Sphere1	66	5.3706380281276624	6.063785208687608	6.156018821573234
1117	Sphere1_HGFKXUSRE_view3	HGFKXUSRE	Sphere1	66	5.420534999272286	6.672032945461067	6.306460020636493
1118	Sphere1_O9LW3E9NN_view3	O9LW3E9NN	Sphere1	66	5.442417710521793	6.45833828334479	6.373461176862744
1119	Sphere1_09ALO2445_view4	09ALO2445	Sphere1	45	5.10594547390058	6.037870919922137	5.760649481827098
1120	Sphere1_ZKZXTTU4V_view4	ZKZXTTU4V	Sphere1	45	4.812184355372417	4.74493212836325	5.044430327455363
1121	Sphere1_8B8X52UMJ_view5	8B8X52UMJ	Sphere1	22	5.14166355650266	6.249975242259483	6.397976592255894
1122	Sphere1_KGQ777J3R_view1	KGQ777J3R	Sphere1	90	4.430816798843313	4.248495242049359	3.696745050732101
1123	Sphere1_IWV33ZLSW_view5	IWV33ZLSW	Sphere1	22	5.2574953720277815	6.424869023905388	6.715721470338337
1124	Sphere1_K7G8CQJMA_view4	K7G8CQJMA	Sphere1	45	5.293304824724492	6.7357800142423265	6.276215256876583
